// 開始地点,x座標,ｙ座標,,,
0,400,4000,,,
//0,5200,2450,,,
//0,16500,3090,,,
//0,16470,4880,,,
//0,12700,4880,,,
//0,9380,2445,,,
//0,6370,2455,,,
// チェックポイント,x座標,ｙ座標,プライオリティ,,
1,5200,2445,1,,
1,16500,3085,2,,
1,12700,4877,3,,
1,9380,2445,4,,
1,6370,2445,5,,
// ゴール地点,x座標,ｙ座標,,,
2,6740,4450,,,
// うに,x座標,y座標,目標ｘ座標,目標ｙ,移動速度（割合）
3,3400,3500,4000,3500,0.01
//第一ウェーブ
3,4300,1400,17600,1400,0.0008
3,4300,1200,17600,1200,0.0008
3,4300,1000,17600,1000,0.0008
3,4300,800,17600,800,0.0008
3,4300,600,17600,600,0.0008

// 動く足場のとこ
3,14500,3200,15200,3200,0.007
3,13880,3700,14400,3700,0.007
3,15000,3500,15000,4000,0.007
// 通路
3,15300,4890,16200,4890,0.007
3,15700,4700,14400,4700,0.007
3,13900,4900,13900,4600,0.009

// ヒールゾーン
3,7450,4500,7800,4500,0.009
3,7450,2100,8500,2100,0.009
// 消える床,x座標,ｙ座標,現れる時間,消える時間
4,6400,3400,160,120
4,5500,3500,120,120
4,5300,4700,140,120
4,5700,4500,160,120
4,6200,4700,180,120
// 動く床,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
5,15100,2000,15100,4400,0.001
5,14820,2000,14820,4400,0.001
5,14520,2000,14520,4400,0.001
5,14220,2000,14220,4400,0.001
5,13950,2000,13950,4400,0.001
5,6800,3600,6800,3600,0.001
5,6000,3650,6000,3100,0.007

// レンズ,x座標,y座標,方向（テンキー）,目標ｘ座標,目標ｙ座標,移動速度(割合)
7,8500,4500,6,7700,4000,0.01
7,7450,4200,2,7800,3500,0.01
7,8000,3000,3,8000,3000,0.01
7,7500,3100,1,7500,3100,0.01
7,8300,2600,9,8300,2600,0.01
7,7600,2500,7,7600,2500,0.01
