// 開始地点,x座標,ｙ座標,,,
0,200,4800,,,
// チェックポイント,x座標,ｙ座標,プライオリティ,,
1,5185,3725,1,,
1,5185,4750,1,,
1,10300,3725,2,,
1,10300,4750,2,,
1,15425,3725,3,,
1,15425,4750,3,,
1,20285,3725,4,,
1,20285,4750,4,,
// ゴール地点,x座標,ｙ座標,,,
2,23500,4700,,,
// 動く死亡ギミック,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
//3,1000,300,1400,300,0.01
// 動く床,x座標,ｙ座標,目標ｘ座標,目標ｙ座標,移動速度(割合)
// レンズ,x座標,y座標,方向（テンキー）,目標ｘ座標,目標ｙ座標,移動速度(割合)
7,600,4500,9,600,4500,0.01,,
7,800,4800,6,800,4800,0.01,,
7,1450,3800,6,1450,3800,0.01,,
7,4300,3850,8,4300,3850,0.01,,
7,4250,3500,6,4250,3500,0.01,,
7,5400,3700,6,5400,3700,0.01,,
7,6300,4700,9,6300,4700,0.01,,
7,7000,3800,3,7000,3800,0.01,,
7,8100,5000,6,8100,5000,0.01,,
7,9600,5000,9,9600,5000,0.01,,
7,10800,4800,6,10800,4800,0.01,,
7,10900,3700,9,10900,3700,0.01,,
7,11500,3000,3,11500,3000,0.01,,
7,12550,4300,9,12550,4300,0.01,,
7,13400,3250,6,13400,3250,0.01,,
7,15400,3400,2,15400,3400,0.01,,
7,15800,3700,6,15800,3700,0.01,,
7,15800,4800,6,15800,4800,0.01,,
7,17450,4800,9,17450,4800,0.01,,
7,17700,4400,6,17700,4400,0.01,,
7,18300,4500,3,18300,4500,0.01,,
7,18500,4850,6,18500,4850,0.01,,
7,21750,4900,2,21750,3800,0.03,,
7,21750,2600,2,21750,3700,0.03,,
